akpop,akrank,alpop,alrank,arpop,arrank,azpop,azrank,capop,carank,copop,corank,ctpop,ctrank,depop,derank,flpop,flrank,gapop,garank,hipop,hirank,iapop,iarank,idpop,idrank,ilpop,ilrank,inpop,inrank,kspop,ksrank,kyrank,kypop,lapop,larank,marank,mapop,mdpop,mdrank,mepop,merank,mirank,mipop,mnrank,mnpop,mopop,morank,mspop,msrank,mtrank,mtpop,ncpop,ncrank,ndpop,ndrank,nepop,nerank,nhrank,nhpop,njpop,njrank,nmrank,nmpop,nvrank,nvpop,nyrank,nypop,ohpop,ohrank,okpop,okrank,orpop,orrank,papop,parank,rirank,ripop,scpop,scrank,sdpop,sdrank,tnpop,tnrank,txpop,txrank,utpop,utrank,vapop,varank,vtpop,vtrank,wapop,warank,wipop,wirank,wvpop,wvrank,wyrank,wypop
8.968,2.4,10.57946314,2.397895273,10.46860248,2.397895273,11.44104271,2.397895273,12.6901271,2.397895273,11.53084397,2.397895273,10.87348965,2.397895273,8.279443488,2.397895273,11.94903616,2.397895273,11.16637057,2.397895273,9.954133137,2.397895273,10.72726818,2.397895273,10.14580608,2.397895273,11.30288322,2.397895273,11.12615943,2.397895273,10.64451973,2.397895273,2.397895273,10.24049536,10.42605398,2.397895273,2.397895273,11.35212271,10.05539286,2.397895273,9.66122489,2.397895273,2.397895273,11.40948533,2.397895273,11.07317942,10.87831131,2.397895273,10.13523399,2.397895273,2.397895273,8.930097229,11.34400965,2.397895273,8.886132618,2.397895273,9.941986852,2.397895273,2.397895273,10.06087584,11.34018982,2.397895273,2.397895273,10.19230648,2.397895273,10.9230386,2.397895273,10.95532265,11.04255377,2.397895273,10.57082963,2.397895273,10.83012458,2.397895273,10.6855152,2.397895273,2.397895273,10.28161572,10.52744541,2.397895273,9.27967985,2.397895273,10.61201584,2.397895273,12.36196467,2.397895273,10.82810353,2.397895273,11.25302716,2.397895273,9.110741007,2.397895273,11.41466193,2.397895273,11.00892649,2.397895273,9.506734385,2.397895273,2.397895273,9.175024027
8.966,2.5,10.51477371,2.48490665,10.33139885,2.48490665,11.24161531,2.48490665,12.62435855,2.48490665,11.46538302,2.48490665,10.87276914,2.48490665,8.234564993,2.48490665,11.85794677,2.48490665,11.03458317,2.48490665,9.946594934,2.48490665,10.5831188,2.48490665,10.07744086,2.48490665,11.2464829,2.48490665,11.02046353,2.48490665,10.48615,2.48490665,2.48490665,10.23824403,10.40852647,2.48490665,2.48490665,11.24343688,9.939771265,2.48490665,9.173780117,2.48490665,2.48490665,11.3396905,2.48490665,11.03904232,10.86383345,2.48490665,10.13030435,2.48490665,2.48490665,8.861208337,11.31424279,2.48490665,8.793156871,2.48490665,9.761001904,2.48490665,2.48490665,9.96189796,11.25601828,2.48490665,2.48490665,10.00278975,2.48490665,10.56061888,2.48490665,10.82217541,11.01218218,2.48490665,10.49805672,2.48490665,10.78756496,2.48490665,10.63340051,2.48490665,2.48490665,10.2670537,10.51961869,2.48490665,9.136263169,2.48490665,10.61011842,2.48490665,12.35240858,2.48490665,10.78257474,2.48490665,10.83920829,2.48490665,9.009814111,2.48490665,11.31732412,2.48490665,10.84583582,2.48490665,9.309642573,2.48490665,2.48490665,9.127284797
8.932,2.6,10.43508592,2.564949357,10.30624901,2.564949357,11.09543838,2.564949357,12.58350515,2.564949357,11.39266561,2.564949357,10.76808491,2.564949357,8.193953024,2.564949357,11.7315227,2.564949357,10.97436887,2.564949357,9.811810764,2.564949357,10.57796147,2.564949357,9.89887694,2.564949357,11.2400926,2.564949357,10.9484529,2.564949357,10.39019465,2.564949357,2.564949357,10.18847851,10.32931069,2.564949357,2.564949357,11.23524653,9.831239388,2.564949357,9.156306483,2.564949357,2.564949357,11.30195749,2.564949357,11.03377614,10.81025306,2.564949357,10.09650174,2.564949357,2.564949357,8.843759382,11.19441298,2.564949357,8.369157113,2.564949357,9.619930295,2.564949357,2.564949357,9.94169814,11.22620293,2.564949357,2.564949357,9.810384934,2.564949357,10.50344979,2.564949357,10.82149681,10.93601346,2.564949357,10.35624965,2.564949357,10.511213,2.564949357,10.43329193,2.564949357,2.564949357,10.18437157,10.29644139,2.564949357,9.077151778,2.564949357,10.52803464,2.564949357,12.30456865,2.564949357,10.76652518,2.564949357,10.69094441,2.564949357,8.968905551,2.564949357,11.23810697,2.564949357,10.80543592,2.564949357,9.282568006,2.564949357,2.564949357,8.932080438
8.868,2.6,10.43293864,2.63905733,10.2929249,2.63905733,11.08636439,2.63905733,12.40457918,2.63905733,11.15943117,2.63905733,10.6088844,2.63905733,8.165932137,2.63905733,11.71536006,2.63905733,10.96122576,2.63905733,9.788132816,2.63905733,10.4564527,2.63905733,9.629708385,2.63905733,11.22658915,2.63905733,10.9251108,2.63905733,10.24263478,2.63905733,2.63905733,10.14749199,10.30467687,2.63905733,2.63905733,11.13192855,9.782336351,2.63905733,9.046997574,2.63905733,2.63905733,11.28652662,2.63905733,11.02075802,10.77235119,2.63905733,10.08113152,2.63905733,2.63905733,8.773384597,11.14504512,2.63905733,8.052614819,2.63905733,9.503009986,2.63905733,2.63905733,9.778547718,11.17106876,2.63905733,2.63905733,9.606091788,2.63905733,10.23917377,2.63905733,10.75781777,10.9065613,2.63905733,10.33035531,2.63905733,10.51094067,2.63905733,10.28810349,2.63905733,2.63905733,10.11342428,10.23351047,2.63905733,8.826000545,2.63905733,10.52384896,2.63905733,12.17393678,2.63905733,10.75248397,2.63905733,10.66886237,2.63905733,8.942460927,2.63905733,11.20510871,2.63905733,10.74496853,2.63905733,9.254070135,2.63905733,2.63905733,8.808369153
8.804,2.7,10.3988543,2.708050201,10.25287601,2.708050201,10.8690826,2.708050201,12.2741471,2.708050201,11.00041509,2.708050201,10.58554851,2.708050201,7.994969523,2.708050201,11.7076037,2.708050201,10.87142152,2.708050201,9.70320567,2.708050201,10.41081707,2.708050201,9.56141969,2.708050201,11.21836647,2.708050201,10.91645117,2.708050201,10.20303644,2.708050201,2.708050201,10.12759064,10.2061075,2.708050201,2.708050201,11.01664357,9.742203155,2.708050201,9.005036739,2.708050201,2.708050201,11.28451808,2.708050201,10.99225151,10.67320218,2.708050201,10.07735682,2.708050201,2.708050201,8.675392806,10.97548204,2.708050201,7.988203597,2.708050201,9.404837505,2.708050201,2.708050201,9.677276802,11.15311705,2.708050201,2.708050201,9.604744533,2.708050201,10.08934452,2.708050201,10.42406547,10.86151506,2.708050201,10.12559056,2.708050201,10.45334156,2.708050201,10.19615717,2.708050201,2.708050201,10.04124749,10.19880292,2.708050201,8.801469471,2.708050201,10.40592812,2.708050201,12.09569959,2.708050201,10.65848214,2.708050201,10.61164649,2.708050201,8.93616665,2.708050201,11.08824696,2.708050201,10.66944365,2.708050201,9.139703292,2.708050201,2.708050201,8.762958921
8.721,2.8,10.32061769,2.772588722,10.23709856,2.772588722,10.83714658,2.772588722,12.26610886,2.772588722,10.97332307,2.772588722,10.50185691,2.772588722,7.933438388,2.772588722,11.58707701,2.772588722,10.76265752,2.772588722,9.63645742,2.772588722,10.24277724,2.772588722,9.541225602,2.772588722,11.21488324,2.772588722,10.8714595,2.772588722,10.15878847,2.772588722,2.772588722,10.11686356,10.19969567,2.772588722,2.772588722,11.01257809,9.619996685,2.772588722,8.966100857,2.772588722,2.772588722,11.21535466,2.772588722,10.95678862,10.55955572,2.772588722,10.06262577,2.772588722,2.772588722,8.688453801,10.95318967,2.772588722,7.92984643,2.772588722,9.231416698,2.772588722,2.772588722,9.644068945,11.105288,2.772588722,2.772588722,9.590897844,2.772588722,9.869258361,2.772588722,10.41616147,10.81279395,2.772588722,10.11362691,2.772588722,10.38189329,2.772588722,10.14553136,2.772588722,2.772588722,10.03394548,10.16592874,2.772588722,8.640825752,2.772588722,10.36948316,2.772588722,12.09195165,2.772588722,10.65192752,2.772588722,10.37264708,2.772588722,8.932080438,2.772588722,11.04135261,2.772588722,10.58618028,2.772588722,9.005650499,2.772588722,2.772588722,8.713417653
8.713,2.8,10.22034,2.833213344,10.18342723,2.833213344,10.79078192,2.833213344,12.25450084,2.833213344,10.84638127,2.833213344,10.22629543,2.833213344,7.871311203,2.833213344,11.58579481,2.833213344,10.49568116,2.833213344,9.62812923,2.833213344,10.22383041,2.833213344,9.53358262,2.833213344,11.20321589,2.833213344,10.84255687,2.833213344,10.12494969,2.833213344,2.833213344,9.984514391,10.19854238,2.833213344,2.833213344,10.9928909,9.475776835,2.833213344,8.957252944,2.833213344,2.833213344,11.20916821,2.833213344,10.84198977,10.48284994,2.833213344,10.01645903,2.833213344,2.833213344,8.551981017,10.84556298,2.833213344,7.822444729,2.833213344,9.047703788,2.833213344,2.833213344,9.623442907,11.10428031,2.833213344,2.833213344,9.554355518,2.833213344,9.86780856,2.833213344,10.39787887,10.79794159,2.833213344,10.09112827,2.833213344,10.38034266,2.833213344,10.14013945,2.833213344,2.833213344,9.972547088,10.06083312,2.833213344,8.445267452,2.833213344,10.21782373,2.833213344,11.93348278,2.833213344,10.56496345,2.833213344,10.21489836,2.833213344,8.891098831,2.833213344,10.9827811,2.833213344,10.57403119,2.833213344,8.975503722,2.833213344,2.833213344,8.604837701
8.689,2.9,10.1872369,2.890371758,10.17523077,2.890371758,10.68939621,2.890371758,12.21188075,2.890371758,10.78768888,2.890371758,9.827200284,2.890371758,7.692569648,2.890371758,11.54466635,2.890371758,10.47965138,2.890371758,9.612800971,2.890371758,10.19932379,2.890371758,9.495068085,2.890371758,11.1354208,2.890371758,10.77960191,2.890371758,10.04076816,2.890371758,2.890371758,9.98432994,10.05702376,2.890371758,2.890371758,10.98074,9.420196029,2.890371758,8.89439599,2.890371758,2.890371758,11.186156,2.890371758,10.81933819,10.4695965,2.890371758,9.935228438,2.890371758,2.890371758,8.457867725,10.81194771,2.890371758,7.816819966,2.890371758,9.046762058,2.890371758,2.890371758,9.591376166,11.0878952,2.890371758,2.890371758,9.529012261,2.890371758,9.828009411,2.890371758,10.35777457,10.7933111,2.890371758,10.05565054,2.890371758,10.17751431,2.890371758,10.05504917,2.890371758,2.890371758,9.957265258,10.05800959,2.890371758,8.366370302,2.890371758,10.14913596,2.890371758,11.86831759,2.890371758,10.51553313,2.890371758,10.199175,2.890371758,8.845633256,2.890371758,10.94307498,2.890371758,10.54323396,2.890371758,8.952864142,2.890371758,2.890371758,8.43901541
8.664,2.9,10.18403171,2.944438979,10.17018855,2.944438979,10.68010234,2.944438979,12.19551208,2.944438979,10.76149218,2.944438979,9.465215121,2.944438979,7.640603826,2.944438979,11.51467394,2.944438979,10.46353182,2.944438979,9.583626582,2.944438979,10.15280554,2.944438979,9.384209642,2.944438979,11.07881394,2.944438979,10.75269787,2.944438979,9.988242218,2.944438979,2.944438979,9.882825556,9.992368015,2.944438979,2.944438979,10.94142939,9.413117937,2.944438979,8.803874764,2.944438979,2.944438979,11.18078981,2.944438979,10.80059546,10.34868606,2.944438979,9.847763404,2.944438979,2.944438979,8.430545385,10.80657146,2.944438979,7.796469243,2.944438979,8.985194818,2.944438979,2.944438979,9.568434309,11.07649587,2.944438979,2.944438979,9.415727202,2.944438979,9.643615181,2.944438979,10.34238744,10.77522015,2.944438979,10.02481984,2.944438979,10.16815685,2.944438979,9.951229549,2.944438979,2.944438979,9.871790466,9.972780379,2.944438979,8.213110698,2.944438979,10.12523012,2.944438979,11.82090269,2.944438979,10.45423557,2.944438979,10.12543038,2.944438979,8.841881989,2.944438979,10.90323669,2.944438979,10.51775385,2.944438979,8.878776072,2.944438979,2.944438979,8.210668031
8.634,3,10.13328889,2.995732274,10.07643195,2.995732274,10.6215956,2.995732274,12.18622192,2.995732274,10.68681816,2.995732274,9.211339872,2.995732274,7.632401127,2.995732274,11.51446428,2.995732274,10.45697029,2.995732274,9.547812109,2.995732274,10.13483734,2.995732274,9.303101852,2.995732274,10.97445454,2.995732274,10.72935017,2.995732274,9.956269738,2.995732274,2.995732274,9.818365299,9.923780256,2.995732274,2.995732274,10.93619149,9.100748695,2.995732274,8.663714844,2.995732274,2.995732274,11.18034365,2.995732274,10.74423544,10.32361136,2.995732274,9.843631385,2.995732274,2.995732274,8.413608875,10.68697805,2.995732274,7.791522819,2.995732274,8.967631665,2.995732274,2.995732274,9.517236663,11.07084824,2.995732274,2.995732274,9.335474103,2.995732274,9.626811359,2.995732274,10.31075104,10.77002065,2.995732274,9.990261401,2.995732274,10.13658143,2.995732274,9.889946282,2.995732274,2.995732274,9.763593101,9.906383356,2.995732274,8.180320875,2.995732274,10.11944535,2.995732274,11.80366785,2.995732274,10.41956934,2.995732274,10.08251201,2.995732274,8.732788325,2.995732274,10.84817136,2.995732274,10.51107684,2.995732274,8.867004635,2.995732274,2.995732274,8.161660452
8.622,3,10.05749537,3.044522438,10.03705644,3.044522438,10.59270201,3.044522438,12.17233487,3.044522438,10.5157229,3.044522438,8.89850221,3.044522438,7.555905094,3.044522438,11.4879153,3.044522438,10.42676533,3.044522438,9.527338499,3.044522438,10.12755068,3.044522438,9.295600216,3.044522438,10.94671045,3.044522438,10.72390595,3.044522438,9.951944328,3.044522438,3.044522438,9.802672247,9.920737906,3.044522438,3.044522438,10.93085443,9.006386515,3.044522438,8.040124664,3.044522438,3.044522438,11.17036473,3.044522438,10.59960532,10.30263273,3.044522438,9.828440678,3.044522438,3.044522438,8.343077871,10.59895703,3.044522438,7.734996194,3.044522438,8.942722331,3.044522438,3.044522438,9.506808732,11.05127089,3.044522438,3.044522438,9.332646496,3.044522438,9.62006307,3.044522438,10.28206097,10.76128015,3.044522438,9.942371671,3.044522438,10.0895521,3.044522438,9.694000328,3.044522438,3.044522438,9.699533696,9.833708658,3.044522438,8.153637486,3.044522438,10.08259562,3.044522438,11.77542818,3.044522438,10.41729872,3.044522438,10.06309475,3.044522438,8.664060267,3.044522438,10.83362202,3.044522438,10.47590674,3.044522438,8.769040811,3.044522438,3.044522438,8.156223323
8.518,3.1,10.0478476,3.091042453,10.034121,3.091042453,10.5850681,3.091042453,12.16378604,3.091042453,10.45264888,3.091042453,,,7.441906728,3.091042453,11.4294569,3.091042453,10.45339927,3.091042453,9.486228165,3.091042453,10.03828065,3.091042453,9.24425859,3.091042453,10.9455824,3.091042453,10.51488223,3.091042453,9.921327471,3.091042453,3.091042453,9.783633624,9.904437102,3.091042453,3.091042453,10.92049202,8.815221556,3.091042453,7.773594467,3.091042453,3.091042453,11.07736191,3.091042453,10.57992083,10.29258612,3.091042453,9.76663637,3.091042453,3.091042453,8.183955717,10.60707999,3.091042453,7.718240952,3.091042453,8.892473968,3.091042453,3.091042453,9.499646126,11.0397167,3.091042453,3.091042453,9.306468399,3.091042453,9.422301634,3.091042453,10.27594726,10.73902366,3.091042453,9.887408982,3.091042453,10.00919801,3.091042453,9.608579435,3.091042453,3.091042453,9.689675329,9.82978719,3.091042453,8.102586425,3.091042453,10.06241253,3.091042453,11.74955369,3.091042453,10.36107061,3.091042453,10.01449211,3.091042453,8.603003848,3.091042453,10.80790811,3.091042453,10.4472933,3.091042453,8.745761999,3.091042453,3.091042453,8.006700845
